,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN
MMM,1.0,0.8747724942694426,0.8173280550916193,0.8324323384891132,0.9119530756388339,0.9238402469635196,0.7839380053909102,0.11847034134558046,0.884752966752037,-0.1560591472068091,0.943989266940246,0.8227189311868911,0.8846439925349323,0.45375501446365224,0.9318263532044165,0.9276897384806966,0.8764024095175207,0.8290400273985129,0.8617196074663992
ABT,0.8747724942694426,1.0,0.8328868455630882,0.8490232125045155,0.9843597636212212,0.9138701412283129,0.9546874450674169,0.40910222238036575,0.8226241719728731,-0.035734339426369215,0.9330164192354691,0.9031011374244976,0.9838495169938375,0.5299440586097683,0.7717032244524723,0.7927708624049695,0.9372227364287801,0.7225174990249063,0.9065353822097014
ABBV,0.8173280550916193,0.8328868455630882,1.0,0.8549657715985396,0.8903498352559217,0.921550122232645,0.8707989303969701,0.7174227755276037,0.2626424938182085,0.5621755372129835,0.8070417078441886,0.9119910446760398,0.8274434265774663,0.7094833969117962,0.30378757642937093,0.6279530512216912,0.8798882476813047,-0.3101581693853654,0.9110169171405503
ABMD,0.8324323384891132,0.8490232125045155,0.8549657715985396,1.0,0.8772218651805175,0.9038959198787997,0.8791612791654589,0.39462319352247144,0.6936436131897495,0.0478052994447253,0.8514218837414329,0.840014300063445,0.8176889731936068,0.4674162124974135,0.7066013072474577,0.7293628822003229,0.8148986657265921,0.5380609703986707,0.9616553299304548
ACN,0.9119530756388339,0.9843597636212212,0.8903498352559217,0.8772218651805175,1.0,0.9462098135529848,0.9482116477729725,0.5002277363603257,0.8439122249023033,0.36305048661372924,0.9535362008931642,0.9800184239145784,0.9837863682112288,0.8823030082870286,0.8176159621624663,0.8362374947775506,0.9499228259796693,0.7182083335878905,0.9263607399441237
ATVI,0.9238402469635196,0.9138701412283129,0.921550122232645,0.9038959198787997,0.9462098135529848,1.0,0.9062642237003564,0.33774462737021016,0.7682218306679571,-0.07799867222182201,0.9121990326544226,0.8754629088773689,0.9218043520262859,0.4852946477167922,0.8164064507097132,0.873498679933312,0.9149606089171763,0.6709249086757104,0.9348502219944413
ADBE,0.7839380053909102,0.9546874450674169,0.8707989303969701,0.8791612791654589,0.9482116477729725,0.9062642237003564,1.0,0.6030063051601465,0.682179721621156,0.0630622865636536,0.86179790614539,0.9074438399983882,0.9458934841727469,0.5256726186784172,0.6482285330533821,0.69327839833235,0.9133147023944255,0.5258794580684056,0.9293655673925189
AMD,0.11847034134558046,0.40910222238036575,0.7174227755276037,0.39462319352247144,0.5002277363603257,0.33774462737021016,0.6030063051601465,1.0,0.1539068941816584,0.4692364146258534,0.23371209391747566,0.5282495595562254,0.4015870498752781,0.3590059641362797,0.021983195988569144,0.03733942423410715,0.3967957702024835,-0.13500860840950357,0.5016147359884208
AAP,0.884752966752037,0.8226241719728731,0.2626424938182085,0.6936436131897495,0.8439122249023033,0.7682218306679571,0.682179721621156,0.1539068941816584,1.0,0.3225553111435779,0.8491759313355097,0.8010053207158104,0.8300861642889699,0.8485534260518428,0.9207995059369007,0.780734303604314,0.7716962109070086,0.9186792749896209,0.6935904887883241
AES,-0.1560591472068091,-0.035734339426369215,0.5621755372129835,0.0478052994447253,0.36305048661372924,-0.07799867222182201,0.0630622865636536,0.4692364146258534,0.3225553111435779,1.0,-0.08042899448040619,0.2188207138123457,-0.05880899334912655,0.3480286530638423,-0.1056107758388306,-0.17710037717011345,-0.08471524038173067,-0.14116580941084225,0.17512442258076366
AFL,0.943989266940246,0.9330164192354691,0.8070417078441886,0.8514218837414329,0.9535362008931642,0.9121990326544226,0.86179790614539,0.23371209391747566,0.8491759313355097,-0.08042899448040619,1.0,0.8613332408541492,0.9375643232628631,0.48319407204446496,0.8591329353578103,0.8768993972764113,0.9385615064605427,0.7498684493208346,0.9016283201402382
A,0.8227189311868911,0.9031011374244976,0.9119910446760398,0.840014300063445,0.9800184239145784,0.8754629088773689,0.9074438399983882,0.5282495595562254,0.8010053207158104,0.2188207138123457,0.8613332408541492,1.0,0.8953623788627193,0.7237156479404235,0.7358106409312744,0.7622320239414774,0.8560116337530626,0.6383770860496529,0.9260958025483101
APD,0.8846439925349323,0.9838495169938375,0.8274434265774663,0.8176889731936068,0.9837863682112288,0.9218043520262859,0.9458934841727469,0.4015870498752781,0.8300861642889699,-0.05880899334912655,0.9375643232628631,0.8953623788627193,1.0,0.5296153902576982,0.7903336359247043,0.8152244783496893,0.9600035906446837,0.7190891358039307,0.8877224020837714
AKAM,0.45375501446365224,0.5299440586097683,0.7094833969117962,0.4674162124974135,0.8823030082870286,0.4852946477167922,0.5256726186784172,0.3590059641362797,0.8485534260518428,0.3480286530638423,0.48319407204446496,0.7237156479404235,0.5296153902576982,1.0,0.4611624928435552,0.41961343052382427,0.4883051054357361,0.4594730736113539,0.7578907047466487
ALK,0.9318263532044165,0.7717032244524723,0.30378757642937093,0.7066013072474577,0.8176159621624663,0.8164064507097132,0.6482285330533821,0.021983195988569144,0.9207995059369007,-0.1056107758388306,0.8591329353578103,0.7358106409312744,0.7903336359247043,0.4611624928435552,1.0,0.8367894969041981,0.7630730258570466,0.8699237782314598,0.7076803766448617
ALB,0.9276897384806966,0.7927708624049695,0.6279530512216912,0.7293628822003229,0.8362374947775506,0.873498679933312,0.69327839833235,0.03733942423410715,0.780734303604314,-0.17710037717011345,0.8768993972764113,0.7622320239414774,0.8152244783496893,0.41961343052382427,0.8367894969041981,1.0,0.8281831949317866,0.780597728619269,0.7760746208016507
ARE,0.8764024095175207,0.9372227364287801,0.8798882476813047,0.8148986657265921,0.9499228259796693,0.9149606089171763,0.9133147023944255,0.3967957702024835,0.7716962109070086,-0.08471524038173067,0.9385615064605427,0.8560116337530626,0.9600035906446837,0.4883051054357361,0.7630730258570466,0.8281831949317866,1.0,0.6433735720582542,0.8803350282284332
ALXN,0.8290400273985129,0.7225174990249063,-0.3101581693853654,0.5380609703986707,0.7182083335878905,0.6709249086757104,0.5258794580684056,-0.13500860840950357,0.9186792749896209,-0.14116580941084225,0.7498684493208346,0.6383770860496529,0.7190891358039307,0.4594730736113539,0.8699237782314598,0.780597728619269,0.6433735720582542,1.0,0.5601611098617534
ALGN,0.8617196074663992,0.9065353822097014,0.9110169171405503,0.9616553299304548,0.9263607399441237,0.9348502219944413,0.9293655673925189,0.5016147359884208,0.6935904887883241,0.17512442258076366,0.9016283201402382,0.9260958025483101,0.8877224020837714,0.7578907047466487,0.7076803766448617,0.7760746208016507,0.8803350282284332,0.5601611098617534,1.0
